Co,O,Ni,Gd
1129,6741,0,14224
1169,6640,0,14229
1218,6522,0,14236
1262,6417,0,14245
1300,6296,0,14257
1338,6204,0,14240
1382,6068,0,14239
1426,5974,0,14257
1466,5867,0,14267
1513,5762,0,14294
1574,5729,0,14314
1546,5732,0,14320
1452,5848,0,14309
1381,5941,0,14290
1299,6044,0,14280
1230,6170,0,14274
1154,6288,0,14252
1087,6398,0,14274
1022,6514,0,14265
950,6645,0,14260
865,6752,4,14257
798,6858,7,14254
718,6995,11,14235
644,7101,13,14213
579,7211,15,14202
512,7331,17,14187
430,7453,21,14215
354,7558,24,14224
290,7684,28,14213
214,7808,31,14210
159,7934,34,14205
152,8003,34,14193
271,7970,31,14216
415,7990,29,14221
570,8022,26,14225
752,8053,21,14222
907,8080,18,14233
1055,8118,15,14221
1216,8144,13,14227
1391,8176,11,14240
1537,8193,9,14234
1697,8218,5,14244
1889,8254,1,14254
2040,8300,0,14285
2192,8323,0,14266
2368,8355,0,14259
2521,8386,0,14265
2676,8424,0,14271
2837,8471,0,14278
3030,8503,0,14282
3193,8553,0,14279
3356,8606,0,14311
3272,8523,0,14296
3305,8441,0,14309
3369,8361,0,14326
3444,8266,0,14339
3497,8204,0,14362
3562,8127,0,14361
3637,8044,0,14357
3708,7959,0,14355
3766,7900,0,14359
3837,7813,0,14371
3915,7716,0,14388
3988,7650,0,14402
4048,7581,0,14405
4124,7506,0,14398
4189,7442,0,14405
4249,7354,0,14397
4317,7283,0,14405
4399,7208,0,14416
4472,7139,0,14426
4563,7114,0,14435
4496,7005,0,14431
4368,6937,5,14427
4266,6869,20,14418
4141,6798,44,14409
4029,6725,66,14395
3922,6667,91,14386
3800,6598,112,14384
3671,6528,137,14390
3567,6461,158,14377
3468,6396,183,14367
3329,6320,210,14360
3212,6260,233,14357
3117,6191,256,14346
2995,6130,279,14319
2872,6080,304,14316
2772,6018,328,14337
2658,5959,352,14334
2543,5897,383,14308
2455,5857,407,14294
2387,5842,432,14283
2365,5808,436,14278
2371,5789,413,14289
2386,5796,388,14281
2427,5801,357,14262
2455,5822,338,14258
2491,5843,318,14260
2518,5868,298,14252
2544,5893,283,14250
2579,5908,266,14259
2615,5936,247,14265
2646,5967,224,14263
2679,5988,208,14276
2704,6021,193,14271
2754,6039,170,14262
2792,6056,156,14255
2824,6104,138,14265
2875,6110,124,14255
2910,6139,104,14247
2957,6179,96,14243
3020,6199,92,14244
3091,6272,96,14237
3044,6235,91,14252
3007,6226,87,14263
3000,6289,79,14296
3010,6324,74,14320
2996,6343,70,14346
2992,6379,62,14361
2986,6414,55,14398
2979,6462,50,14417
2987,6488,43,14423
2976,6535,38,14445
2972,6558,34,14462
2975,6599,27,14483
2972,6638,20,14499
2969,6662,14,14532
2975,6716,9,14545
2972,6742,2,14560
2984,6774,0,14579
2983,6827,0,14607
2977,6870,0,14639
2992,7009,0,14662
3001,7026,0,14661
3003,7072,0,14657
3024,7118,0,14654
3046,7182,0,14645
3059,7243,0,14647
3088,7294,0,14642
3113,7353,0,14627
3122,7419,0,14644
3147,7478,0,14635
3174,7540,0,14626
3200,7600,1,14618
3230,7661,2,14612
3268,7730,5,14611
3288,7795,9,14615
3326,7855,12,14618
3346,7925,15,14627
3387,7980,16,14630
3410,8052,17,14630
3438,8115,17,14629
3501,8203,21,14623
3511,8220,21,14613
3453,8280,18,14606
3408,8343,17,14605
3364,8401,16,14596
3344,8479,16,14581
3296,8541,21,14550
3268,8603,25,14530
3225,8687,31,14507
3191,8760,40,14515
3157,8827,47,14499
3130,8900,55,14478
3095,8966,62,14460
3057,9061,74,14439
3028,9126,84,14426
3004,9186,92,14421
2972,9312,103,14408
2940,9345,115,14393
2910,9414,126,14376
2888,9511,137,14368
2881,9601,148,14341
2883,9757,155,14323
2780,9469,146,14321
2757,9217,132,14321
2757,9010,121,14325
2761,8797,113,14316
2766,8555,98,14318
2755,8350,90,14335
2773,8148,82,14353
2767,7933,71,14349
2800,7700,61,14357
2805,7510,51,14362
2811,7309,44,14341
2825,7077,33,14322
2817,6866,22,14334
2830,6680,12,14336
2852,6439,6,14329
2851,6238,0,14329
2871,6032,0,14328
2890,5846,0,14331
2914,5624,0,14340
2966,5519,0,14347
2932,5458,0,14334
2949,5509,0,14341
2986,5546,0,14351
3014,5603,0,14351
3060,5658,0,14342
3087,5714,0,14339
3128,5779,0,14361
3182,5840,0,14373
3217,5897,0,14361
3257,5952,0,14354
3296,6023,0,14349
3324,6095,0,14361
3367,6144,0,14360
3399,6217,0,14368
3441,6298,0,14375
3480,6362,0,14379
3533,6422,0,14385
3585,6490,0,14394
3640,6586,0,14382
3728,6678,0,14385
3737,6781,0,14386
3665,6896,0,14411
3619,7011,0,14409
3578,7119,0,14410
3527,7271,0,14415
3483,7385,0,14422
3444,7515,0,14423
3401,7627,0,14434
3357,7776,0,14443
3320,7895,0,14438
3274,8009,0,14433
3217,8152,0,14438
3179,8266,0,14459
3134,8393,0,14469
3093,8528,0,14479
3051,8670,0,14487
3013,8794,0,14470
2977,8900,0,14486
2938,9058,0,14495
2921,9219,0,14519
2979,9360,0,14516
3011,9349,0,14509
3106,9370,0,14491
3207,9416,0,14459
3346,9447,0,14461
3459,9474,0,14467
3573,9494,0,14476
3689,9532,0,14487
3832,9579,3,14483
3946,9624,8,14474
4070,9653,10,14463
4196,9682,14,14453
4318,9730,16,14447
4438,9741,19,14431
4571,9785,22,14435
4685,9840,26,14448
4809,9852,30,14440
4933,9891,32,14422
5056,9957,36,14406
5203,9996,38,14391
5357,10115,42,14393
5194,9890,38,14385
5024,9769,36,14375
4861,9642,33,14360
4663,9515,31,14336
4505,9403,28,14320
4339,9280,24,14311
4172,9152,20,14298
3981,9022,16,14276
3817,8892,14,14282
3655,8769,10,14265
3462,8645,8,14255
3294,8546,4,14231
3135,8418,0,14189
2942,8292,0,14170
2769,8184,0,14159
2615,8059,0,14153
2444,7940,0,14108
2275,7816,0,14083
2122,7707,0,14074
2007,7595,0,14065
2041,7593,0,14072
2080,7708,0,14102
2130,7867,0,14123
2182,8034,0,14158
2221,8170,0,14183
2273,8326,1,14194
2321,8474,3,14222
2364,8664,6,14248
2415,8798,7,14270
2456,8948,9,14281
2503,9117,11,14299
2551,9280,12,14323
2594,9422,14,14360
2639,9602,15,14398
2691,9748,16,14400
2735,9912,17,14411
2789,10078,20,14445
2834,10215,21,14469
2870,10384,24,14510
2927,10545,26,14525
2946,10619,26,14541
2859,10426,24,14528
2844,10242,21,14503
2850,9987,16,14454
2853,9787,15,14436
2866,9609,13,14437
2873,9372,18,14425
2888,9173,25,14417
2891,8995,30,14398
2919,8803,33,14374
2924,8576,42,14354
2928,8377,51,14352
2936,8185,60,14345
2937,7959,68,14335
2952,7777,74,14310
