Co,Si,Pt,O,Ni,Gd,Al
0,110,0,0,7,4871,5
0,94,0,0,4,4835,8
0,75,0,0,6,4798,11
0,55,0,0,6,4768,16
0,42,0,0,9,4743,20
0,30,0,0,13,4707,23
0,19,0,0,15,4684,29
0,19,0,0,14,4681,26
0,19,0,0,23,4687,22
0,26,0,0,41,4697,18
0,32,0,0,62,4713,14
0,37,0,0,81,4716,10
0,44,0,0,101,4726,7
0,51,0,0,121,4744,3
0,58,0,0,143,4746,0
0,64,0,0,168,4759,0
0,68,0,0,183,4769,0
0,60,0,0,162,4769,0
0,50,0,0,137,4781,0
0,38,0,0,116,4800,0
0,30,0,0,95,4810,0
0,21,0,0,71,4818,0
0,11,0,0,51,4834,0
0,5,0,0,30,4852,0
0,0,0,0,8,4852,0
0,0,0,0,0,4860,0
0,0,0,0,0,4873,0
0,0,0,0,0,4873,0
0,0,0,0,12,4871,0
0,0,0,0,28,4865,0
0,0,0,0,37,4888,0
0,0,0,0,50,4881,0
0,0,0,0,63,4880,0
0,0,0,0,75,4893,0
0,0,0,0,86,4889,0
0,0,0,0,101,4891,0
0,0,0,0,95,4880,0
0,10,0,0,88,4865,0
0,18,0,0,81,4868,0
0,28,0,0,73,4857,0
0,37,0,0,68,4845,0
0,47,0,0,62,4836,0
0,56,0,0,57,4833,0
0,66,0,0,54,4823,0
0,72,0,0,54,4823,0
32,72,0,0,50,4824,0
89,62,0,0,42,4806,0
151,58,0,0,35,4813,0
210,51,0,0,28,4816,0
275,46,0,0,21,4811,0
332,41,0,0,15,4802,0
397,36,0,0,7,4806,0
454,34,0,0,0,4795,0
518,32,0,0,0,4797,0
548,34,0,0,0,4794,0
486,50,0,0,0,4807,0
429,70,0,0,2,4826,0
365,91,0,0,8,4834,0
304,114,0,0,16,4846,0
243,136,0,0,21,4857,0
183,157,0,0,28,4876,0
120,179,0,0,35,4881,0
63,204,0,0,43,4902,0
1,231,0,0,51,4910,0
0,217,0,0,45,4903,0
0,190,0,0,40,4888,0
0,164,0,0,31,4878,0
0,137,0,0,25,4861,0
0,111,0,0,19,4851,0
0,86,0,0,12,4847,0
0,57,0,0,9,4837,0
0,32,0,0,5,4815,0
0,7,0,0,7,4801,0
0,0,0,0,8,4792,14
0,8,0,0,11,4787,114
0,21,0,0,19,4776,211
0,35,0,0,29,4770,313
0,48,0,0,37,4764,407
0,65,0,0,46,4741,511
0,74,0,0,56,4743,609
0,99,0,0,64,4731,712
0,112,0,0,73,4724,804
0,130,0,0,83,4715,907
0,120,0,0,74,4713,842
0,102,0,0,72,4704,740
0,88,0,0,75,4701,643
0,69,0,0,79,4690,541
0,56,0,0,83,4688,447
0,40,0,0,87,4674,341
0,28,0,0,91,4687,245
0,12,0,0,96,4666,143
0,0,0,0,109,4658,49
0,0,0,0,114,4666,0
0,0,0,0,98,4686,0
0,0,0,0,80,4702,0
0,0,0,0,66,4720,0
0,0,0,0,48,4739,0
0,0,0,0,34,4755,0
0,0,0,0,22,4775,0
0,0,0,0,6,4793,0
0,2,0,0,0,4810,0
0,4,0,0,0,4828,0
0,2,0,0,3,4813,0
0,0,0,0,18,4784,0
0,0,0,0,37,4757,0
0,0,0,0,60,4730,0
0,0,0,0,79,4702,0
0,0,0,0,103,4676,0
0,0,0,0,118,4649,0
0,0,0,0,142,4622,0
0,0,0,0,162,4593,0
0,0,0,0,165,4586,0
0,0,0,0,149,4632,0
0,0,0,0,149,4672,0
0,0,0,0,147,4710,0
0,0,0,0,146,4735,0
0,0,0,0,143,4788,0
0,0,0,0,145,4819,0
0,0,0,0,146,4857,0
0,0,0,0,150,4899,0
0,0,0,0,168,4932,0
0,19,0,0,146,4934,0
0,49,0,0,128,4941,0
0,82,0,0,107,4947,0
0,114,0,0,84,4952,0
0,147,0,0,65,4939,0
0,179,0,0,47,4949,0
0,212,0,0,27,4953,0
0,242,0,0,8,4965,0
0,277,0,0,0,4969,0
0,277,0,0,4,4975,0
0,261,0,0,32,4997,0
0,247,0,0,62,5013,0
0,235,0,0,93,5035,0
0,223,0,0,123,5058,0
0,216,0,0,152,5080,0
0,205,0,0,182,5092,0
0,198,0,0,212,5113,0
0,188,0,0,246,5134,0
0,194,0,0,276,5153,0
0,175,0,3,261,5141,0
0,179,0,13,259,5121,0
0,182,0,25,266,5106,0
0,185,0,38,275,5090,0
0,192,0,50,282,5075,0
0,197,0,63,286,5059,0
0,204,0,78,296,5042,0
0,214,0,87,301,5029,0
