Co,O,Ni,Gd
0,296,1832,9060
0,270,1782,9048
0,238,1720,9013
0,211,1647,8989
0,191,1581,8957
0,164,1525,8933
0,142,1473,8906
0,127,1423,8884
0,124,1419,8878
0,167,1412,8855
0,243,1428,8833
0,334,1467,8798
0,425,1502,8781
0,517,1540,8768
0,613,1570,8756
0,711,1619,8728
0,805,1648,8728
0,890,1698,8712
0,986,1755,8681
0,1085,1835,8676
0,1023,1790,8646
0,952,1800,8629
0,882,1845,8617
0,817,1887,8596
0,756,1919,8571
0,689,1965,8536
0,620,1997,8511
0,557,2044,8493
0,494,2081,8495
0,432,2155,8462
0,417,2235,8456
0,414,2205,8423
0,419,2261,8378
0,422,2340,8324
0,437,2411,8293
0,439,2491,8252
0,451,2566,8238
0,454,2634,8202
0,465,2721,8153
0,475,2788,8110
0,478,2900,8079
0,492,3003,8039
0,456,2944,8010
9,432,2958,7961
20,413,2971,7931
30,381,3010,7886
41,363,3034,7847
51,341,3047,7797
65,313,3082,7763
73,294,3110,7731
85,275,3132,7683
96,246,3171,7651
104,237,3236,7627
93,223,3305,7630
80,219,3398,7628
68,212,3510,7626
59,206,3610,7628
46,204,3701,7636
37,199,3816,7625
26,191,3911,7616
17,187,4015,7620
4,184,4136,7630
0,178,4264,7612
0,188,4422,7611
23,167,4624,7561
55,161,4855,7505
86,156,5079,7462
117,158,5302,7407
148,152,5551,7368
181,153,5784,7318
212,151,6017,7267
243,151,6259,7236
274,148,6466,7200
305,149,6732,7139
318,157,6912,7099
288,144,7015,7071
259,123,7122,7028
222,111,7233,7007
188,94,7331,6977
162,83,7448,6951
129,68,7548,6930
97,56,7682,6876
64,40,7768,6868
35,29,7878,6839
4,23,7975,6800
0,21,8124,6758
0,47,8325,6690
0,99,8538,6638
1,142,8743,6566
6,200,8946,6516
12,254,9151,6436
17,315,9356,6370
21,361,9557,6308
24,422,9766,6264
29,478,9947,6193
34,534,10147,6141
35,578,10258,6091
37,586,10175,6075
46,608,10104,6077
56,629,10032,6094
65,645,9958,6078
73,661,9888,6085
85,689,9811,6088
96,717,9736,6062
