Co,Si,Pt,O,Ni,Gd,Al
499,0,0,563,331,5374,438
504,0,0,556,312,5392,385
518,0,0,562,299,5419,331
520,0,0,563,286,5436,277
535,0,0,571,276,5449,231
544,0,0,561,263,5480,176
558,0,0,583,254,5490,125
566,0,0,578,241,5507,70
584,0,0,588,259,5522,20
604,0,0,602,285,5538,0
636,0,0,582,320,5545,0
677,0,0,571,374,5556,0
711,0,0,560,433,5536,0
754,0,0,539,491,5544,0
800,0,0,544,545,5554,0
839,0,0,517,605,5550,0
890,0,0,513,661,5552,0
926,0,0,499,718,5556,0
977,0,0,499,781,5548,0
1023,0,0,513,838,5563,0
1066,0,0,500,860,5563,0
1204,0,0,476,783,5580,0
1341,0,0,466,716,5601,0
1486,0,0,477,653,5622,0
1633,0,0,488,593,5634,0
1769,0,0,486,537,5652,0
1917,0,0,491,473,5655,0
2057,0,0,488,414,5685,0
2211,0,0,502,353,5704,0
2350,0,0,510,294,5717,0
2490,0,0,533,251,5728,0
2474,0,0,532,237,5734,0
2276,0,0,495,214,5727,0
2090,0,0,464,194,5723,0
1893,0,0,437,183,5720,0
1729,0,0,416,163,5718,0
1540,0,0,382,149,5717,0
1370,0,0,361,137,5708,0
1182,0,0,336,128,5702,0
994,0,0,309,113,5692,0
813,0,0,289,106,5675,0
646,0,0,290,101,5670,0
609,0,0,298,108,5673,0
557,0,0,314,121,5679,12
509,0,0,341,132,5679,26
461,0,0,365,147,5674,43
421,0,0,391,157,5675,56
374,0,0,420,169,5670,73
331,0,0,442,191,5672,89
277,0,0,476,205,5678,103
239,0,0,508,227,5671,122
196,0,0,547,249,5673,134
172,0,0,591,276,5681,150
171,0,0,578,262,5694,139
204,0,0,574,271,5702,129
237,0,0,591,282,5723,108
269,0,0,591,289,5733,96
310,0,0,613,305,5739,82
349,0,0,626,314,5765,63
384,0,0,639,330,5778,46
423,0,0,657,348,5789,30
459,0,0,680,364,5809,14
496,0,0,688,385,5800,3
552,0,0,717,419,5823,0
662,0,0,701,387,5811,0
823,0,0,718,375,5804,0
990,0,0,721,378,5807,0
1134,0,0,739,384,5797,0
1297,0,0,745,380,5794,0
1455,0,0,775,382,5776,0
1621,0,0,793,390,5770,0
1778,0,0,802,394,5767,0
1941,0,0,825,401,5765,0
2105,0,0,852,415,5753,0
2233,0,0,886,436,5753,0
2025,0,0,875,410,5759,0
1826,0,0,884,410,5763,0
1640,0,0,883,413,5770,0
1461,0,0,900,423,5791,0
1274,0,0,903,428,5787,0
1087,0,0,914,438,5795,0
894,0,0,921,447,5796,0
702,0,0,935,452,5820,0
535,0,0,946,451,5828,0
348,0,0,965,489,5829,0
257,0,0,988,509,5824,0
261,0,0,942,529,5844,20
263,0,0,916,553,5838,52
274,0,0,913,595,5861,84
286,0,0,892,629,5856,119
294,0,0,868,673,5865,157
310,0,0,850,703,5881,192
314,0,0,837,757,5883,229
334,0,0,819,790,5887,263
350,0,0,805,831,5903,299
374,0,0,796,895,5894,339
374,0,0,827,893,5888,339
362,0,0,897,820,5864,299
354,0,0,987,759,5818,263
342,0,0,1080,709,5808,229
339,0,0,1168,653,5776,192
330,0,0,1262,590,5747,157
317,0,0,1347,538,5719,119
308,0,0,1433,478,5684,84
299,0,0,1528,431,5655,52
298,0,0,1610,380,5630,20
298,0,0,1709,354,5597,0
288,0,0,1816,341,5587,12
274,0,0,1918,318,5592,86
258,0,0,2011,296,5589,164
